,Year,Month,광진구 Power Usage,양천구 Power Usage,도봉구 Power Usage,서대문구 Power Usage,중구 Power Usage,중랑구 Power Usage,송파구 Power Usage,종로구 Power Usage,용산구 Power Usage,은평구 Power Usage,강서구 Power Usage,서초구 Power Usage,강남구 Power Usage,동대문구 Power Usage,노원구 Power Usage,영등포구 Power Usage,성북구 Power Usage,마포구 Power Usage,금천구 Power Usage,관악구 Power Usage,강동구 Power Usage,성동구 Power Usage,강북구 Power Usage,구로구 Power Usage,동작구 Power Usage
85,2022,11,188.27,237.47,219.61,209.21,190.48,200.99,241.51,184.31,217.3,218.63,203.66,253.93,232.8,196.67,229.25,197.81,222.69,208.82,191.53,166.35,224.37,229.21,195.88,211.6,201.18
86,2022,12,200.04,249.49,233.79,226.78,211.23,213.77,252.64,202.32,233.65,229.75,213.25,266.76,249.64,207.79,244.95,213.22,234.11,224.28,204.02,175.49,236.51,240.53,206.57,225.9,209.44
87,2023,1,220.48,272.57,255.79,246.41,232.16,236.53,281.28,227.85,259.47,253.22,233.97,290.89,266.86,231.94,266.08,234.51,262.08,246.25,222.27,193.63,258.56,270.17,231.8,247.31,229.86
88,2023,2,212.94,264.97,246.77,232.3,217.09,227.26,273.9,214.91,249.22,245.13,226.98,272.72,249.65,221.7,257.08,222.41,254.15,236.2,213.18,188.23,248.24,262.87,225.74,238.39,224.31
89,2023,3,179.23,228.57,209.22,204.73,189.61,195.0,233.29,181.0,210.04,210.15,196.9,239.7,227.3,189.89,218.9,194.63,215.33,203.38,182.92,158.37,213.22,221.45,188.32,206.16,190.63
90,2023,4,184.85,235.3,215.08,208.03,189.82,198.66,241.82,182.17,214.37,214.19,203.08,245.79,229.0,194.93,225.42,197.2,222.18,207.87,187.3,164.38,219.63,227.14,194.41,210.94,199.57
91,2023,5,176.34,224.55,204.03,201.31,184.45,189.52,229.74,173.94,205.95,205.59,193.52,239.14,225.69,185.75,212.72,190.12,210.84,199.57,179.65,156.11,210.22,216.86,184.01,202.36,190.45
92,2023,6,195.37,236.65,214.09,216.34,205.46,200.5,246.36,188.83,229.37,216.65,206.0,262.94,251.83,199.87,224.0,206.3,222.3,219.38,192.08,169.76,229.68,233.56,193.89,213.04,204.36
93,2023,7,245.38,287.04,262.06,271.95,263.14,247.05,301.42,236.96,294.07,264.58,249.0,334.58,327.8,244.57,272.03,256.89,264.53,275.8,235.37,205.98,284.09,282.38,231.94,259.41,247.44
94,2023,8,316.31,374.57,330.1,335.96,321.86,313.06,389.63,297.59,380.18,339.0,322.65,426.78,402.26,311.98,341.43,325.43,340.31,350.11,300.27,266.76,360.24,367.01,300.38,336.0,321.29
95,2023,9,269.19,327.19,273.71,278.66,264.35,271.0,337.59,251.76,319.96,293.19,283.6,360.89,327.12,281.52,286.05,276.05,307.13,297.99,256.49,230.15,304.14,331.21,262.05,286.56,276.78
96,2023,10,194.06,241.08,213.0,213.93,194.77,202.79,248.02,185.38,224.57,221.96,210.18,261.14,239.69,209.95,222.6,203.22,229.73,218.18,191.79,169.92,224.5,239.84,196.4,214.17,204.3
97,2023,11,188.02,235.18,216.69,212.03,191.85,198.28,241.91,182.94,216.23,218.36,201.75,252.27,230.76,197.7,228.63,196.55,220.52,210.18,187.12,163.65,220.52,226.13,193.16,210.08,197.49
98,2023,12,200.32,248.17,231.23,228.77,210.96,211.87,255.26,202.05,231.43,233.16,212.27,264.35,247.38,210.63,244.41,211.51,234.29,225.7,199.49,173.14,222.16,240.3,205.35,223.54,208.71
